,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films_y,anneeSortie,nbVotes_x,nbVotes_y
412,nm0122653,3,0,0,0,0,6,0,3,0,10,0,0,1,1,0,1,2,7,0,0,4,0,0,12,2002.0,145369.0,6865.0
413,nm0122987,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2023.0,42952.0,44471.0
414,nm0124834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1990.0,20318.0,7126.0
415,nm0126864,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1973.0,108.0,91.0
416,nm0126878,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1997.0,47.0,251.0
417,nm0127635,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1969.0,9.0,22.0
418,nm0127804,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2002.0,30.0,126.0
419,nm0128621,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1997.0,19.0,19.0
420,nm0131182,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1996.0,110.0,208.0
421,nm0132064,0,0,0,1,0,13,0,0,0,13,1,1,0,0,0,0,0,7,0,0,0,0,0,18,2006.0,1868.0,3343.0
422,nm0132257,2,0,1,1,0,11,0,2,0,1,1,7,0,0,12,0,3,2,2,0,4,0,1,15,1997.0,74114.0,15536.0
423,nm0133899,2,0,1,6,5,13,0,6,1,34,4,3,1,4,0,1,3,10,4,4,8,0,0,43,2011.0,7443.0,18777.0
424,nm0134618,0,0,0,1,0,7,0,0,0,13,0,0,0,0,0,1,0,4,0,0,0,0,0,16,2007.0,513.0,83.0
425,nm0136001,0,0,0,0,1,8,0,5,1,23,0,0,1,2,0,0,3,8,0,0,6,0,0,29,2008.0,961.0,214.0
426,nm0136021,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1998.0,805.0,17279.0
427,nm0136572,0,0,0,1,0,1,0,1,0,5,0,1,0,0,1,0,3,3,0,0,3,0,0,6,2014.0,3442.0,1985.0
428,nm0137379,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001.0,316.0,114.0
429,nm0142674,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1996.0,66.0,23.0
430,nm0144812,1,0,0,1,0,8,0,2,0,11,0,1,1,0,0,0,1,6,0,0,0,0,0,14,2001.0,2586.0,9344.0
431,nm0146637,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2004.0,173.0,257.0
432,nm0146760,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011.0,529.0,290.0
